	uner-name	uner-class	name	id
85078	Liboje	Name-Location-GPE-GPE_Other	Liboje	entity_2290131
85079	Ložnica pri Žalcu	Name-Location-GPE-GPE_Other	Ložnica_pri_Žalcu	entity_488167
85080	Mala Pirešica	Name-Location-GPE-GPE_Other	Mala_Pirešica	entity_9703764
85081	Migojnice	Name-Location-GPE-City	Migojnice	entity_3279158
85082	Novo Celje	Name-Location-GPE-GPE_Other	Novo_Celje	entity_5610397
85083	Pernovo	Name-Location-GPE-GPE_Other	Pernovo	entity_770179
85084	Petrovče	Name-Location-GPE-City	Petrovče	entity_12711236
85085	Podlog v Savinjski Dolini	Name-Location-GPE-GPE_Other	Podlog_v_Savinjski_Dolini	entity_6040383
85086	Pongrac	Name-Location-GPE-GPE_Other	Pongrac	entity_7008942
85087	Ponikva pri Žalcu	Name-Location-GPE-City	Ponikva_pri_Žalcu	entity_8515349
85088	Spodnje Grušovlje	Name-Location-GPE-GPE_Other	Spodnje_Grušovlje	entity_13565486
85089	Spodnje Roje	Name-Location-GPE-GPE_Other	Spodnje_Roje	entity_3459618
85090	Velika Pirešica	Name-Location-GPE-GPE_Other	Velika_Pirešica	entity_8046673
85091	Zabukovica	Name-Location-GPE-GPE_Other	Zabukovica	entity_2863084
85092	Zalog pri Šempetru	Name-Location-GPE-GPE_Other	Zalog_pri_Šempetru	entity_316056
85093	Zaloška Gorica	Name-Location-GPE-GPE_Other	Zaloška_Gorica	entity_13816051
85094	Zavrh pri Galiciji	Name-Location-GPE-GPE_Other	Zavrh_pri_Galiciji	entity_12411934
85095	Zgornje Grušovlje	Name-Location-GPE-GPE_Other	Zgornje_Grušovlje	entity_10031846
85096	Zgornje Roje	Name-Location-GPE-GPE_Other	Zgornje_Roje	entity_813669
85099	Ángel Nieto	Name-Person-Name_Person	Ángel_Nieto	entity_8656974
85104	Letoon	Name-Place-Location_Other	Letoon	entity_12627122
85111	Taras Bulba	Name-Product-Art-Book	Taras_Bulba	entity_1234058
85146	Varvarin	Name-Location-GPE-City	Varvarin	entity_318651
85157	2S7 Pion	Name-Product-Weapon-Object	2S7_Pion	entity_10690230
85158	2S4 Tyulpan	Name-Product-Weapon-Object	2S4_Tyulpan	entity_7291322
85160	2S3 Akatsiya	Name-Product-Weapon-Object	2S3_Akatsiya	entity_4320367
85178	Sony Pictures Animation	Name-Organization-Corporation-Company	Sony_Pictures_Animation	entity_13472405
85180	Ashton Kutcher	Name-Person-Name_Person	Ashton_Kutcher	entity_1342269
85186	M2 Bradley	Name-Product-Weapon-Object	M2_Bradley	entity_3826226
85190	Magadenovac	Name-Location-GPE-GPE_Other	Magadenovac	entity_2460836
85191	Beničanci	Name-Location-GPE-City	Beničanci	entity_5429942
85192	Serra de Tramuntana	Name-Facility-Archaeological_Place-Archaeological_Place_Other	Serra_de_Tramuntana	entity_11673952
85193	Goran Knežević	Name-Person-Name_Person	Goran_Knežević	entity_5536688
85221	Bakovci	Name-Location-GPE-City	Bakovci	entity_1350365
85222	Kupšinci	Name-Location-GPE-City	Kupšinci	entity_10213852
85223	Markišavci	Name-Location-GPE-City	Markišavci	entity_6563083
85224	Nemčavci	Name-Location-GPE-City	Nemčavci	entity_13793707
85225	Rakičan	Name-Location-GPE-City	Rakičan	entity_1088424
85226	Satahovci	Name-Location-GPE-City	Satahovci	entity_13523390
85242	Meža	Name-Location-Geological_Region-River	Meža	entity_12658982
85265	Sonthofen	Name-Location-GPE-GPE_Other	Sonthofen	entity_11606818
85270	Arima	Name-Location-GPE-GPE_Other	Arima	entity_11128048
85277	Eric Dane	Name-Person-Name_Person	Eric_Dane	entity_4584917
85302	Iringa	Name-Location-GPE-City	Iringa	entity_1805465
85303	Arnače	Name-Location-GPE-City	Arnače	entity_2974672
85304	Bevče	Name-Location-GPE-GPE_Other	Bevče	entity_11327113
85305	Črnova	Name-Location-GPE-GPE_Other	Črnova	entity_7924704
85306	Kavče	Name-Location-GPE-GPE_Other	Kavče	entity_7333330
85307	Lopatnik	Name-Location-GPE-GPE_Other	Lopatnik	entity_10043439
85308	Lopatnik pri Velenju	Name-Location-GPE-GPE_Other	Lopatnik_pri_Velenju	entity_5229934
85309	Paka pri Velenju	Name-Location-GPE-GPE_Other	Paka_pri_Velenju	entity_12773262
85310	Paški Kozjak	Name-Location-GPE-GPE_Other	Paški_Kozjak	entity_6073762
85311	Pirešica	Name-Location-GPE-GPE_Other	Pirešica	entity_7623095
85312	Podkraj pri Velenju	Name-Location-GPE-GPE_Other	Podkraj_pri_Velenju	entity_1879038
85313	Prelska	Name-Location-GPE-GPE_Other	Prelska	entity_10936912
85314	Silova	Name-Location-GPE-GPE_Other	Silova	entity_13336472
85315	Škale	Name-Location-GPE-GPE_Other	Škale	entity_12578846
